instituicao,cod_ibge,uf,populacao,indicador_1,Nota_1,indicador_2,Nota_2,indicador_3,nota_3,classificacao_capag
Prefeitura Municipal de Independência - CE,2305605,CE,26168,"11,63%",A,"98,46%",C,"216,24%",C,C
Prefeitura Municipal de Independência - RS,4310405,RS,6228,"7,56%",A,"84,69%",A,"11,78%",A,A
Prefeitura Municipal de Indiana - SP,3520608,SP,4892,"27,71%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Indianópolis - MG,3130705,MG,6829,"16,33%",A,"8,57%",A,"-778,18%",C,C
Prefeitura Municipal de Indianópolis - PR,4110409,PR,4449,"7,01%",A,"85,94%",A,"33,70%",A,A
Prefeitura Municipal de Indiaporã - SP,3520707,SP,3908,"39,20%",A,"95,86%",C,"63,69%",A,C
Prefeitura Municipal de Indiara - GO,5209952,GO,15431,"0,67%",A,"93,11%",B,"4,76%",A,B
Prefeitura Municipal de Indiaroba - SE,2802809,SE,17761,"3,49%",A,"96,90%",C,,n.d.,n.d.
Prefeitura Municipal de Indiavaí - MT,5104500,MT,2725,,n.d.,"89,39%",A,"2,03%",A,n.d.
Prefeitura Municipal de Ingá - PB,2506806,PB,18101,"47,71%",A,"96,31%",C,"827,88%",C,C
Prefeitura Municipal de Ingaí - MG,3130804,MG,2757,"2,35%",A,"95,60%",C,"52,59%",A,C
Prefeitura Municipal de Ingazeira - PE,2607109,PE,4554,"3,09%",A,"90,35%",B,"115,68%",C,C
Prefeitura Municipal de Inhacorá - RS,4310413,RS,2235,"12,45%",A,"97,24%",C,"206,22%",C,C
Prefeitura Municipal de Inhambupe - BA,2913705,BA,39499,"52,84%",A,"96,08%",C,"69,92%",A,C
Prefeitura Municipal de Inhangapi - PA,1503408,PA,11559,"-3,56%",A,"103,11%",C,"164,68%",C,C
Prefeitura Municipal de Inhapi - AL,2703304,AL,18378,"6,63%",A,,n.d.,"181,13%",C,n.d.
Prefeitura Municipal de Inhapim - MG,3130903,MG,24204,"6,77%",A,"96,69%",C,"4,57%",A,C
Prefeitura Municipal de Inhaúma - MG,3131000,MG,6228,"27,41%",A,"102,49%",C,"726,23%",C,C
Prefeitura Municipal de Inhuma - PI,2204709,PI,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Inhumas - GO,5210000,GO,52465,"25,14%",A,"92,64%",B,"8,85%",A,B
Prefeitura Municipal de Inimutaba - MG,3131109,MG,7467,"24,77%",A,"99,65%",C,,n.d.,n.d.
Prefeitura Municipal de Inocência - MS,5004403,MS,7625,"0,63%",A,"87,17%",A,"47,74%",A,A
Prefeitura Municipal de Inúbia Paulista - SP,3520806,SP,3963,,n.d.,"97,15%",C,"44,58%",A,n.d.
Prefeitura Municipal de Iomerê - SC,4207577,SC,2927,"7,74%",A,"88,89%",A,"2,92%",A,A
Prefeitura Municipal de Ipaba - MG,3131158,MG,18438,"10,10%",A,"93,61%",B,"37,08%",A,B
Prefeitura Municipal de Ipameri - GO,5210109,GO,26792,"29,56%",A,"91,72%",B,"912,37%",C,C
Prefeitura Municipal de Ipanema - MG,3131208,MG,19717,"15,14%",A,"91,39%",B,"2624,34%",C,C
Prefeitura Municipal de Ipanguaçu - RN,2404705,RN,15354,"18,55%",A,"98,18%",C,,n.d.,n.d.
Prefeitura Municipal de Ipaporanga - CE,2305654,CE,11587,"19,46%",A,"99,69%",C,,n.d.,n.d.
Prefeitura Municipal de Ipatinga - MG,3131307,MG,261344,"31,92%",A,"99,85%",C,"322,28%",C,C
Prefeitura Municipal de Ipaumirim - CE,2305704,CE,12439,"24,96%",A,"99,67%",C,,n.d.,n.d.
Prefeitura Municipal de Ipaussu - SP,3520905,SP,14869,"10,95%",A,"96,12%",C,"735,16%",C,C
Prefeitura Municipal de Ipê - RS,4310439,RS,6588,"0,82%",A,"81,29%",A,"40,35%",A,A
Prefeitura Municipal de Ipecaetá - BA,2913804,BA,14625,"94,77%",B,"95,31%",C,"210,29%",C,C
Prefeitura Municipal de Iperó - SP,3521002,SP,36280,"17,42%",A,"94,39%",B,"490,31%",C,C
Prefeitura Municipal de Ipeúna - SP,3521101,SP,7401,"0,18%",A,"95,66%",C,"48,96%",A,C
Prefeitura Municipal de Ipiaçu - MG,3131406,MG,4217,"59,84%",A,"89,89%",A,"63,86%",A,A
Prefeitura Municipal de Ipiaú - BA,2913903,BA,45823,"26,78%",A,"95,83%",C,"137,07%",C,C
Prefeitura Municipal de Ipiguá - SP,3521150,SP,5306,"9,10%",A,"89,17%",A,"48,41%",A,A
Prefeitura Municipal de Ipirá - BA,2914000,BA,59763,"27,06%",A,,n.d.,"494,15%",C,n.d.
Prefeitura Municipal de Ipira - SC,4207601,SC,4486,"1,86%",A,"99,51%",C,"13,28%",A,C
Prefeitura Municipal de Ipiranga - PR,4110508,PR,15092,"8,36%",A,"88,98%",A,"8,45%",A,A
Prefeitura Municipal de Ipiranga de Goiás - GO,5210158,GO,2893,"0,96%",A,"97,09%",C,"955,66%",C,C
Prefeitura Municipal de Ipiranga do Norte - MT,5104526,MT,7395,"6,18%",A,"87,71%",A,"3,52%",A,A
Prefeitura Municipal de Ipiranga do Piauí - PI,2204808,PI,9782,"17,97%",A,"108,92%",C,"63,86%",A,C
Prefeitura Municipal de Ipiranga do Sul - RS,4310462,RS,1899,,n.d.,"92,58%",B,,n.d.,n.d.
Prefeitura Municipal de Ipixuna - AM,1301803,AM,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Ipixuna do Pará - PA,1503457,PA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Ipojuca - PE,2607208,PE,94709,"2,42%",A,"95,35%",C,"697,34%",C,C
Prefeitura Municipal de Iporá - GO,5210208,GO,31563,"13,16%",A,"95,06%",C,"23,07%",A,C
Prefeitura Municipal de Iporã - PR,4110607,PR,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Iporã do Oeste - SC,4207650,SC,8945,"8,27%",A,"94,24%",B,"1,99%",A,B
Prefeitura Municipal de Iporanga - SP,3521200,SP,4238,"20,93%",A,"94,86%",B,"176,31%",C,C
Prefeitura Municipal de Ipu - CE,2305803,CE,41873,"28,79%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Ipuã - SP,3521309,SP,16209,"8,34%",A,"98,46%",C,"0,00%",n.d.,n.d.
Prefeitura Municipal de Ipuaçu - SC,4207684,SC,7448,"1,97%",A,"92,38%",B,"100,00%",C,C
Prefeitura Municipal de Ipubi - PE,2607307,PE,30512,"60,77%",B,"98,47%",C,"87,18%",A,C
Prefeitura Municipal de Ipueira - RN,2404804,RN,2228,"10,08%",A,,n.d.,"35,11%",A,n.d.
Prefeitura Municipal de Ipueiras - CE,2305902,CE,38205,"7,90%",A,"94,73%",B,,n.d.,n.d.
Prefeitura Municipal de Ipueiras - TO,1709807,TO,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Ipuiúna - MG,3131505,MG,10039,"36,05%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Ipumirim - SC,4207700,SC,7565,"8,34%",A,"93,48%",B,"8,26%",A,B
Prefeitura Municipal de Ipupiara - BA,2914109,BA,9817,"26,00%",A,"110,39%",C,,n.d.,n.d.
Prefeitura Municipal de Iracema - CE,2306009,CE,14227,"48,61%",A,"94,19%",B,"16,98%",A,B
Prefeitura Municipal de Iracema - RR,1400282,RR,11600,"26,37%",A,"71,26%",A,"13,79%",A,A
Prefeitura Municipal de Iracema do Oeste - PR,4110656,PR,2325,"3,03%",A,,n.d.,"-1,24%",C,n.d.
Prefeitura Municipal de Iracemápolis - SP,3521408,SP,23846,"47,32%",A,"93,79%",B,"290,46%",C,C
Prefeitura Municipal de Iraceminha - SC,4207759,SC,4015,,n.d.,"92,10%",B,"0,42%",A,n.d.
Prefeitura Municipal de Iraí - RS,4310504,RS,7344,"15,69%",A,"93,39%",B,"19,15%",A,B
Prefeitura Municipal de Iraí de Minas - MG,3131604,MG,6944,"11,35%",A,"97,04%",C,"-1841,96%",C,C
Prefeitura Municipal de Irajuba - BA,2914208,BA,7243,"42,45%",A,"98,45%",C,"307,80%",C,C
Prefeitura Municipal de Iramaia - BA,2914307,BA,8893,"134,51%",B,"101,09%",C,"801,69%",C,C
Prefeitura Municipal de Iranduba - AM,1301852,AM,47571,"0,22%",A,"90,44%",B,"40,27%",A,B
Prefeitura Municipal de Irani - SC,4207809,SC,10339,,n.d.,"93,58%",B,"57,34%",A,n.d.
Prefeitura Municipal de Irapuã - SP,3521507,SP,7937,"13,85%",A,"113,74%",C,"877,27%",C,C
Prefeitura Municipal de Irapuru - SP,3521606,SP,8261,"25,80%",A,"97,28%",C,"153,63%",C,C
Prefeitura Municipal de Iraquara - BA,2914406,BA,24942,"21,67%",A,"90,16%",B,,n.d.,n.d.
Prefeitura Municipal de Irará - BA,2914505,BA,28892,"38,19%",A,"97,86%",C,"116,02%",C,C
Prefeitura Municipal de Irati - PR,4110706,PR,60357,"4,52%",A,"100,11%",C,"468,23%",C,C
Prefeitura Municipal de Irati - SC,4207858,SC,1952,"8,21%",A,"91,14%",B,"4,22%",A,B
Prefeitura Municipal de Irauçuba - CE,2306108,CE,24003,"33,90%",A,"84,99%",A,"465,89%",C,C
Prefeitura Municipal de Irecê - BA,2914604,BA,72386,"53,77%",A,"98,29%",C,,n.d.,n.d.
Prefeitura Municipal de Iretama - PR,4110805,PR,10241,"26,09%",A,"93,34%",B,"3,56%",A,B
Prefeitura Municipal de Irineópolis - SC,4207908,SC,11155,"9,48%",A,"89,17%",A,"37,53%",A,A
Prefeitura Municipal de Irituia - PA,1503507,PA,32504,"54,32%",A,"101,54%",C,,n.d.,n.d.
Prefeitura Municipal de Irupi - ES,3202652,ES,13226,"10,70%",A,"97,77%",C,"-221,93%",C,C
Prefeitura Municipal de Isaías Coelho - PI,2204907,PI,8551,,n.d.,"97,81%",C,"65,12%",A,n.d.
Prefeitura Municipal de Israelândia - GO,5210307,GO,2815,"77,13%",B,"89,11%",A,"113,03%",C,C
Prefeitura Municipal de Itá - SC,4208005,SC,6209,"3,82%",A,"90,93%",B,"3,31%",A,B
Prefeitura Municipal de Itaara - RS,4310538,RS,5459,,n.d.,"89,56%",A,"10,98%",A,n.d.
Prefeitura Municipal de Itabaiana - PB,2506905,PB,24537,"97,49%",B,"105,93%",C,"185,21%",C,C
Prefeitura Municipal de Itabaiana - SE,2802908,SE,94696,"8,50%",A,"95,46%",C,"165,74%",C,C
Prefeitura Municipal de Itabaianinha - SE,2803005,SE,41684,"17,15%",A,"94,53%",B,"96,16%",A,B
Prefeitura Municipal de Itabela - BA,2914653,BA,30413,"46,75%",A,"91,23%",B,"-4,62%",C,C
Prefeitura Municipal de Itaberá - SP,3521705,SP,17635,"8,64%",A,"95,48%",C,"136,81%",C,C
Prefeitura Municipal de Itaberaba - BA,2914703,BA,64325,"21,49%",A,"90,07%",B,"456,44%",C,C
Prefeitura Municipal de Itaberaí - GO,5210406,GO,42163,"42,60%",A,,n.d.,"9,97%",A,n.d.
Prefeitura Municipal de Itabi - SE,2803104,SE,4921,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itabira - MG,3131703,MG,119186,"13,92%",A,"84,67%",A,"25,16%",A,A
Prefeitura Municipal de Itabirinha - MG,3131802,MG,11446,"1,80%",A,"96,57%",C,,n.d.,n.d.
Prefeitura Municipal de Itabirito - MG,3131901,MG,51281,"13,49%",A,"88,85%",A,"35,32%",A,A
Prefeitura Municipal de Itaboraí - RJ,3301900,RJ,238695,"12,36%",A,"95,10%",C,"71,17%",A,C
Prefeitura Municipal de Itabuna - BA,2914802,BA,212740,"95,60%",B,,n.d.,"1053,01%",C,n.d.
Prefeitura Municipal de Itacajá - TO,1710508,TO,7414,"41,56%",A,"105,12%",C,"3737,48%",C,C
Prefeitura Municipal de Itacambira - MG,3132008,MG,5353,"13,69%",A,"99,56%",C,"125,54%",C,C
Prefeitura Municipal de Itacarambi - MG,3132107,MG,18142,"14,69%",A,"93,69%",B,"-934,57%",C,C
Prefeitura Municipal de Itacaré - BA,2914901,BA,27891,"146,21%",B,,n.d.,"39,25%",A,n.d.
Prefeitura Municipal de Itacoatiara - AM,1301902,AM,99955,"42,81%",A,"95,30%",C,"578,56%",C,C
Prefeitura Municipal de Itacuruba - PE,2607406,PE,4869,"29,85%",A,,n.d.,"806,57%",C,n.d.
Prefeitura Municipal de Itacurubi - RS,4310553,RS,3470,,n.d.,"92,88%",B,"1,66%",A,n.d.
Prefeitura Municipal de Itaeté - BA,2915007,BA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itagi - BA,2915106,BA,12462,"83,31%",B,"98,47%",C,"5346,12%",C,C
Prefeitura Municipal de Itagibá - BA,2915205,BA,14712,"63,76%",B,"82,10%",A,,n.d.,n.d.
Prefeitura Municipal de Itagimirim - BA,2915304,BA,6914,"68,18%",B,"98,39%",C,"517,77%",C,C
Prefeitura Municipal de Itaguaçu - ES,3202702,ES,14109,"0,12%",A,"94,79%",B,"60,53%",A,B
Prefeitura Municipal de Itaguaçu da Bahia - BA,2915353,BA,14311,"50,15%",A,"96,41%",C,"729,17%",C,C
Prefeitura Municipal de Itaguaí - RJ,3302007,RJ,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itaguajé - PR,4110904,PR,4487,"13,83%",A,"87,84%",A,"11,91%",A,A
Prefeitura Municipal de Itaguara - MG,3132206,MG,13278,"0,27%",A,"96,53%",C,"28,57%",A,C
Prefeitura Municipal de Itaguari - GO,5210562,GO,4668,"13,21%",A,"92,25%",B,"2552,25%",C,C
Prefeitura Municipal de Itaguaru - GO,5210604,GO,5269,"8,51%",A,"94,64%",B,"-51,25%",C,C
Prefeitura Municipal de Itaguatins - TO,1710706,TO,5896,"37,09%",A,,n.d.,"274,73%",C,n.d.
Prefeitura Municipal de Itaí - SP,3521804,SP,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itaíba - PE,2607505,PE,26390,"0,33%",A,"93,83%",B,"232,52%",C,C
Prefeitura Municipal de Itaiçaba - CE,2306207,CE,7787,"75,66%",B,"93,68%",B,,n.d.,n.d.
Prefeitura Municipal de Itainópolis - PI,2205003,PI,11507,,n.d.,"93,37%",B,"-28,39%",C,n.d.
Prefeitura Municipal de Itaiópolis - SC,4208104,SC,21556,,n.d.,"86,64%",A,"89,73%",A,n.d.
Prefeitura Municipal de Itaipava do Grajaú - MA,2105351,MA,15897,,n.d.,"259,22%",C,"15,73%",A,n.d.
Prefeitura Municipal de Itaipé - MG,3132305,MG,12681,"16,94%",A,"103,51%",C,,n.d.,n.d.
Prefeitura Municipal de Itaipulândia - PR,4110953,PR,10961,,n.d.,"71,55%",A,"4,68%",A,n.d.
Prefeitura Municipal de Itaitinga - CE,2306256,CE,39518,"10,19%",A,"87,88%",A,,n.d.,n.d.
Prefeitura Municipal de Itaituba - PA,1503606,PA,101097,"68,00%",B,"94,16%",B,,n.d.,n.d.
Prefeitura Municipal de Itajá - GO,5210802,GO,4605,"43,93%",A,,n.d.,"134,12%",C,n.d.
Prefeitura Municipal de Itajá - RN,2404853,RN,7501,"0,98%",A,"95,82%",C,"35,51%",A,C
Prefeitura Municipal de Itajaí - SC,4208203,SC,215895,"4,97%",A,"86,24%",A,"31,45%",A,A
Prefeitura Municipal de Itajobi - SP,3521903,SP,15226,"6,20%",A,"81,41%",A,"-2,91%",C,C
Prefeitura Municipal de Itaju - SP,3522000,SP,3782,"0,88%",A,"95,08%",C,"0,00%",n.d.,n.d.
Prefeitura Municipal de Itaju do Colônia - BA,2915403,BA,6770,"94,10%",B,"96,78%",C,,n.d.,n.d.
Prefeitura Municipal de Itajubá - MG,3132404,MG,96389,"15,97%",A,"94,94%",B,"187,99%",C,C
Prefeitura Municipal de Itajuípe - BA,2915502,BA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Italva - RJ,3302056,RJ,15113,"3,99%",A,"86,07%",A,"-919,80%",C,C
Prefeitura Municipal de Itamaraju - BA,2915601,BA,64521,"79,84%",B,"92,21%",B,"37,04%",A,B
Prefeitura Municipal de Itamarandiba - MG,3132503,MG,34527,"26,65%",A,"85,22%",A,"45,78%",A,A
Prefeitura Municipal de Itamarati - AM,1301951,AM,7888,"32,96%",A,"123,70%",C,"783,99%",C,C
Prefeitura Municipal de Itamarati de Minas - MG,3132602,MG,4333,"1,04%",A,"91,45%",B,"20,71%",A,B
Prefeitura Municipal de Itamari - BA,2915700,BA,8069,"158,52%",C,"100,63%",C,"4588,34%",C,D
Prefeitura Municipal de Itambacuri - MG,3132701,MG,23212,"24,71%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itambaracá - PR,4111001,PR,6616,"4,76%",A,"101,44%",C,"1046,65%",C,C
Prefeitura Municipal de Itambé - BA,2915809,BA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itambé - PE,2607653,PE,36422,"38,83%",A,"96,29%",C,"353,97%",C,C
Prefeitura Municipal de Itambé - PR,4111100,PR,6107,"2,94%",A,"104,01%",C,,n.d.,n.d.
Prefeitura Municipal de Itambé do Mato Dentro - MG,3132800,MG,2107,"2,41%",A,"91,87%",B,"26,20%",A,B
Prefeitura Municipal de Itamogi - MG,3132909,MG,10229,"3,42%",A,"93,02%",B,,n.d.,n.d.
Prefeitura Municipal de Itamonte - MG,3133006,MG,15440,"26,16%",A,"91,95%",B,"436,65%",C,C
Prefeitura Municipal de Itanagra - BA,2915908,BA,6445,"67,23%",B,,n.d.,"42,47%",A,n.d.
Prefeitura Municipal de Itanhaém - SP,3522109,SP,100496,"55,86%",A,"91,31%",B,"139,04%",C,C
Prefeitura Municipal de Itanhandu - MG,3133105,MG,15236,"3,64%",A,"95,45%",C,"504,76%",C,C
Prefeitura Municipal de Itanhangá - MT,5104542,MT,6587,"0,01%",A,"93,52%",B,"1,56%",A,B
Prefeitura Municipal de Itanhém - BA,2916005,BA,19499,"28,89%",A,"90,56%",B,"176,21%",C,C
Prefeitura Municipal de Itanhomi - MG,3133204,MG,12212,"7,36%",A,"99,36%",C,"1001,24%",C,C
Prefeitura Municipal de Itaobim - MG,3133303,MG,21096,"0,97%",A,"89,46%",A,"3,98%",A,A
Prefeitura Municipal de Itaóca - SP,3522158,SP,3326,,n.d.,"91,25%",B,"111,07%",C,n.d.
Prefeitura Municipal de Itaocara - RJ,3302106,RJ,23247,"13,68%",A,,n.d.,"14,42%",A,n.d.
Prefeitura Municipal de Itapaci - GO,5210901,GO,22533,"30,30%",A,"93,44%",B,"0,00%",n.d.,n.d.
Prefeitura Municipal de Itapagipe - MG,3133402,MG,15102,"10,88%",A,"94,92%",B,"132,29%",C,C
Prefeitura Municipal de Itapajé - CE,2306306,CE,52240,"28,88%",A,"94,59%",B,"1003,27%",C,C
Prefeitura Municipal de Itaparica - BA,2916104,BA,22114,"20,50%",A,"95,63%",C,"1723,41%",C,C
Prefeitura Municipal de Itapé - BA,2916203,BA,9008,"154,80%",C,,n.d.,"83,09%",A,n.d.
Prefeitura Municipal de Itapebi - BA,2916302,BA,10306,"150,81%",C,"101,64%",C,"959,69%",C,D
Prefeitura Municipal de Itapecerica - MG,3133501,MG,21763,"4,92%",A,"98,60%",C,"60,95%",A,C
Prefeitura Municipal de Itapecerica da Serra - SP,3522208,SP,173672,"9,09%",A,"90,43%",B,"67,28%",A,B
Prefeitura Municipal de Itapecuru Mirim - MA,2105401,MA,67673,"36,24%",A,"120,93%",C,"74,96%",A,C
Prefeitura Municipal de Itapejara d'Oeste - PR,4111209,PR,11831,"13,27%",A,"86,48%",A,"0,08%",A,A
Prefeitura Municipal de Itapema - SC,4208302,SC,63250,"4,39%",A,"88,15%",A,"15,26%",A,A
Prefeitura Municipal de Itapemirim - ES,3202801,ES,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itaperuçu - PR,4111258,PR,28187,"17,88%",A,"87,67%",A,"36,89%",A,A
Prefeitura Municipal de Itaperuna - RJ,3302205,RJ,102626,"12,29%",A,,n.d.,"90,79%",A,n.d.
Prefeitura Municipal de Itapetim - PE,2607703,PE,13680,"6,01%",A,"89,41%",A,"2,84%",A,A
Prefeitura Municipal de Itapetinga - BA,2916401,BA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itapetininga - SP,3522307,SP,162231,"22,82%",A,"95,01%",C,"57,27%",A,C
Prefeitura Municipal de Itapeva - MG,3133600,MG,9682,"12,27%",A,"98,93%",C,"83,82%",A,C
Prefeitura Municipal de Itapeva - SP,3522406,SP,93892,"12,45%",A,"83,46%",A,"23,98%",A,A
Prefeitura Municipal de Itapevi - SP,3522505,SP,234352,"6,25%",A,"82,34%",A,"28,12%",A,A
Prefeitura Municipal de Itapicuru - BA,2916500,BA,35256,"20,66%",A,"88,85%",A,"26,20%",A,A
Prefeitura Municipal de Itapipoca - CE,2306405,CE,128135,"20,19%",A,"87,31%",A,"116,08%",C,C
Prefeitura Municipal de Itapira - SP,3522604,SP,74299,"26,52%",A,"91,38%",B,"43,33%",A,B
Prefeitura Municipal de Itapiranga - AM,1302009,AM,9064,"22,71%",A,"154,14%",C,"927,31%",C,C
Prefeitura Municipal de Itapiranga - SC,4208401,SC,16736,"0,59%",A,"94,39%",B,"11,30%",A,B
Prefeitura Municipal de Itapirapuã - GO,5211008,GO,5316,"59,23%",A,"96,04%",C,,n.d.,n.d.
Prefeitura Municipal de Itapirapuã Paulista - SP,3522653,SP,4213,"2,59%",A,"96,67%",C,"35,53%",A,C
Prefeitura Municipal de Itapiratins - TO,1710904,TO,3758,"1,47%",A,"94,47%",B,"-72,88%",C,C
Prefeitura Municipal de Itapissuma - PE,2607752,PE,26397,"5,14%",A,"100,28%",C,"88,65%",A,C
Prefeitura Municipal de Itapitanga - BA,2916609,BA,10328,"85,15%",B,,n.d.,"759,65%",C,n.d.
Prefeitura Municipal de Itapiúna - CE,2306504,CE,20133,"56,07%",A,"93,84%",B,"293,71%",C,C
Prefeitura Municipal de Itapoá - SC,4208450,SC,19963,"1,93%",A,"75,57%",A,"4,44%",A,A
Prefeitura Municipal de Itápolis - SP,3522703,SP,42903,"16,30%",A,"105,35%",C,,n.d.,n.d.
Prefeitura Municipal de Itaporã - MS,5004502,MS,23886,"23,23%",A,"88,89%",A,"6,68%",A,A
Prefeitura Municipal de Itaporã do Tocantins - TO,1711100,TO,2435,"3,76%",A,"99,72%",C,"305,87%",C,C
Prefeitura Municipal de Itaporanga - PB,2507002,PB,24653,"88,04%",B,"99,39%",C,"205,23%",C,C
Prefeitura Municipal de Itaporanga - SP,3522802,SP,15125,,n.d.,"95,09%",C,"19,24%",A,n.d.
Prefeitura Municipal de Itaporanga d'Ajuda - SE,2803203,SE,33994,"43,12%",A,"96,43%",C,"217,95%",C,C
Prefeitura Municipal de Itapororoca - PB,2507101,PB,18501,"91,99%",B,"93,65%",B,"74,44%",A,B
Prefeitura Municipal de Itapuã do Oeste - RO,1101104,RO,10272,"6,75%",A,"89,23%",A,"5,20%",A,A
Prefeitura Municipal de Itapuca - RS,4310579,RS,2125,"7,33%",A,"92,70%",B,"12,22%",A,B
Prefeitura Municipal de Itapuí - SP,3522901,SP,13833,"29,49%",A,"90,19%",B,"76,16%",A,B
Prefeitura Municipal de Itapura - SP,3523008,SP,4860,"17,40%",A,"88,01%",A,"116,65%",C,C
Prefeitura Municipal de Itapuranga - GO,5211206,GO,25856,"21,95%",A,"95,45%",C,"3,92%",A,C
Prefeitura Municipal de Itaquaquecetuba - SP,3523107,SP,366519,"38,90%",A,"90,90%",B,"550,23%",C,C
Prefeitura Municipal de Itaquara - BA,2916708,BA,8288,"14,00%",A,,n.d.,"783,71%",C,n.d.
Prefeitura Municipal de Itaqui - RS,4310603,RS,37757,"14,63%",A,"97,65%",C,"174,90%",C,C
Prefeitura Municipal de Itaquiraí - MS,5004601,MS,20905,"10,07%",A,,n.d.,"-14,40%",C,n.d.
Prefeitura Municipal de Itaquitinga - PE,2607802,PE,16903,"23,80%",A,,n.d.,"543,04%",C,n.d.
Prefeitura Municipal de Itarana - ES,3202900,ES,10619,"11,44%",A,,n.d.,"0,37%",A,n.d.
Prefeitura Municipal de Itarantim - BA,2916807,BA,19646,"76,41%",B,,n.d.,"3130,57%",C,n.d.
Prefeitura Municipal de Itararé - SP,3523206,SP,50360,"38,34%",A,"93,22%",B,"30,13%",A,B
Prefeitura Municipal de Itarema - CE,2306553,CE,41445,"16,17%",A,"78,27%",A,,n.d.,n.d.
Prefeitura Municipal de Itariri - SP,3523305,SP,17271,"8,60%",A,"88,51%",A,"21,95%",A,A
Prefeitura Municipal de Itarumã - GO,5211305,GO,7097,"8,36%",A,"93,48%",B,"231,23%",C,C
Prefeitura Municipal de Itati - RS,4310652,RS,2441,"4,60%",A,"93,24%",B,"23,09%",A,B
Prefeitura Municipal de Itatiaia - RJ,3302254,RJ,31537,"14,91%",A,"84,67%",A,"46,71%",A,A
Prefeitura Municipal de Itatiaiuçu - MG,3133709,MG,11037,,n.d.,"84,60%",A,"6,10%",A,n.d.
Prefeitura Municipal de Itatiba - SP,3523404,SP,119090,"15,30%",A,"106,15%",C,"49,42%",A,C
Prefeitura Municipal de Itatiba do Sul - RS,4310702,RS,3420,"11,46%",A,"85,72%",A,"19,49%",A,A
Prefeitura Municipal de Itatim - BA,2916856,BA,14432,"66,09%",B,"94,09%",B,,n.d.,n.d.
Prefeitura Municipal de Itatinga - SP,3523503,SP,20467,,n.d.,"85,40%",A,"14,92%",A,n.d.
Prefeitura Municipal de Itatira - CE,2306603,CE,20786,"46,00%",A,"94,60%",B,,n.d.,n.d.
Prefeitura Municipal de Itatuba - PB,2507200,PB,10801,"42,19%",A,"89,87%",A,"40,87%",A,A
Prefeitura Municipal de Itaú - RN,2404903,RN,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itaú de Minas - MG,3133758,MG,16014,"6,22%",A,"96,93%",C,,n.d.,n.d.
Prefeitura Municipal de Itaúba - MT,5104559,MT,3901,,n.d.,"94,21%",B,"1862,10%",C,n.d.
Prefeitura Municipal de Itaubal - AP,1600253,AP,5387,,n.d.,,n.d.,"111,88%",C,n.d.
Prefeitura Municipal de Itauçu - GO,5211404,GO,8916,"22,95%",A,"97,53%",C,"87,68%",A,C
Prefeitura Municipal de Itaueira - PI,2205102,PI,11010,"1,04%",A,"105,10%",C,"-56,88%",C,C
Prefeitura Municipal de Itaúna - MG,3133808,MG,92561,"10,86%",A,"89,93%",A,"96,39%",A,A
Prefeitura Municipal de Itaúna do Sul - PR,4111308,PR,2951,"10,40%",A,"96,22%",C,"5413,72%",C,C
Prefeitura Municipal de Itaverava - MG,3133907,MG,5470,"30,79%",A,"94,13%",B,"679,01%",C,C
Prefeitura Municipal de Itinga - MG,3134004,MG,14956,"5,32%",A,"92,88%",B,"17,67%",A,B
Prefeitura Municipal de Itinga do Maranhão - MA,2105427,MA,25932,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itiquira - MT,5104609,MT,13163,"10,50%",A,"93,92%",B,"5,41%",A,B
Prefeitura Municipal de Itirapina - SP,3523602,SP,17922,"21,49%",A,"89,10%",A,"1,15%",A,A
Prefeitura Municipal de Itirapuã - SP,3523701,SP,6453,"4,06%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Itiruçu - BA,2916906,BA,,,n.d.,"98,68%",C,"392,28%",C,n.d.
Prefeitura Municipal de Itiúba - BA,2917003,BA,36063,"38,51%",A,"94,27%",B,"4,11%",A,B
Prefeitura Municipal de Itobi - SP,3523800,SP,,,n.d.,,n.d.,,n.d.,n.d.
