cod_mun_ent,uf,nom_municipio_x,1.1,1.3,1.4,1.5,2.1.1,2.1.2,3.1,3.2.2,3.2.3,3.3,3.4,3.5,4.1,4.2,4.3,4.4,qtd_2018_x,Região,idhm,idhm_renda,soma_capag,media_indicadores,mediana_indicadores,sit_obr,sit_predita
240030.0,RN,Afonso Bezerra,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,11041,NE,0.585,0.56,2.5369,0.8456333333333333,0.2265,2.0,2.0
320010.0,ES,Afonso Cl�udio,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30720,SE,0.667,0.6609999999999999,1.0022,0.3340666666666667,0.05860000000000001,1.0,1.0
210010.0,MA,Afonso Cunha,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6469,NE,0.529,0.471,0.0,0.0,0.0,1.0,1.0
260020.0,PE,Afr�nio,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19456,NE,0.588,0.542,2.6532,0.8844,0.9461,1.0,1.0
150030.0,PA,Afu�,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,38863,N,0.489,0.485,3.4902,1.1634,1.0474,1.0,1.0
260030.0,PE,Agrestina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24702,NE,0.5920000000000001,0.581,15.1339,5.0446333333333335,0.9578,0.0,0.0
220010.0,PI,Agricol�ndia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5148,NE,0.599,0.55,0.7928,0.26426666666666665,0.2314,0.0,0.0
420020.0,SC,Agrol�ndia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10711,S,0.725,0.727,1.0245,0.3415,0.0504,1.0,1.0
420030.0,SC,Agron�mica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385,S,0.741,0.774,3.3384,1.1128,0.973,0.0,0.0
150034.0,PA,�gua Azul do Norte,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27241,N,0.564,0.563,3.8153,1.2717666666666665,0.9175,1.0,1.0
